No.	Functions	DeviceProperty Code / Command Id	Mode	ILX-LR1	ILCE-1M2	ILCE-1	ILCE-9M3	ILCE-9M2	ILCE-7RM5	ILCE-7RM4A	ILCE-7RM4	ILCE-7CR	ILCE-7SM3	ILCE-7M4	ILCE-7CM2	ILCE-7C	ILCE-6700	MPC-2610	ILME-FX6	ILME-FX2	ILME-FX3A	ILME-FX3	ILME-FX30	PXW-Z200	HXR-NX800	ZV-E1	ZV-E10M2	DSC-RX0M2	ILME-FR7	BRC-AM7
287	Picture Profile Color Depth Yellow	:ref:`CrDeviceProperty_PictureProfile_ColorDepthYellow<dp-PictureProfile_ColorDepthYellow>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
288	Picture Profile Detail Level	:ref:`CrDeviceProperty_PictureProfile_DetailLevel<dp-PictureProfile_DetailLevel>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
289	Picture Profile Detail Adjust Mode	:ref:`CrDeviceProperty_PictureProfile_DetailAdjustMode<dp-PictureProfile_DetailAdjustMode>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
290	Picture Profile Detail Adjust V/H Balance	:ref:`CrDeviceProperty_PictureProfile_DetailAdjustVHBalance<dp-PictureProfile_DetailAdjustVHBalance>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
291	Picture Profile Detail Adjust B/W Balance	:ref:`CrDeviceProperty_PictureProfile_DetailAdjustBWBalance<dp-PictureProfile_DetailAdjustBWBalance>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
292	Picture Profile Detail Adjust Limit	:ref:`CrDeviceProperty_PictureProfile_DetailAdjustLimit<dp-PictureProfile_DetailAdjustLimit>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
293	Picture Profile Detail Adjust Crispening	:ref:`CrDeviceProperty_PictureProfile_DetailAdjustCrispening<dp-PictureProfile_DetailAdjustCrispening>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
294	Picture Profile Detail Adjust Hi-Light Detail	:ref:`CrDeviceProperty_PictureProfile_DetailAdjustHiLightDetail<dp-PictureProfile_DetailAdjustHiLightDetail>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
295	Copy Picture Profile	:ref:`CrDeviceProperty_PictureProfile_Copy<dp-PictureProfile_Copy>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
296	Picture Profile Reset Enable Status	:ref:`CrDeviceProperty_PictureProfileResetEnableStatus<dp-PictureProfileResetEnableStatus>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
297	Execute Picture Profile Reset	:ref:`CrCommandId_PictureProfileReset<command-PictureProfileReset>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-
298	Creative Look	:ref:`CrDeviceProperty_CreativeLook<dp-CreativeLook>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
299	Creative Look Contrast	:ref:`CrDeviceProperty_CreativeLook_Contrast<dp-CreativeLook_Contrast>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
300	Creative Look Highlights	:ref:`CrDeviceProperty_CreativeLook_Highlights<dp-CreativeLook_Highlights>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
301	Creative Look Shadows	:ref:`CrDeviceProperty_CreativeLook_Shadows<dp-CreativeLook_Shadows>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
302	Creative Look Fade	:ref:`CrDeviceProperty_CreativeLook_Fade<dp-CreativeLook_Fade>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
303	Creative Look Saturation	:ref:`CrDeviceProperty_CreativeLook_Saturation<dp-CreativeLook_Saturation>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
304	Creative Look Sharpness	:ref:`CrDeviceProperty_CreativeLook_Sharpness<dp-CreativeLook_Sharpness>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
305	Creative Look Sharpness Range	:ref:`CrDeviceProperty_CreativeLook_SharpnessRange<dp-CreativeLook_SharpnessRange>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
306	Creative Look Clarity	:ref:`CrDeviceProperty_CreativeLook_Clarity<dp-CreativeLook_Clarity>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
307	Custom Look	:ref:`CrDeviceProperty_CreativeLook_CustomLook<dp-CreativeLook_CustomLook>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
308	Creative Look Reset Enable Status	:ref:`CrDeviceProperty_CreativeLookResetEnableStatus<dp-CreativeLookResetEnableStatus>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
309	Execute Creative Look Reset	:ref:`CrCommandId_CreativeLookReset<command-CreativeLookReset>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
310	Proxy Recording Setting	:ref:`CrDeviceProperty_ProxyRecordingSetting<dp-ProxyRecordingSetting>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	\-	\-	\-	\-	\-	✔	✔	\-	\-	✔
311	Interval REC(Movie) Count Down Interval Time	:ref:`CrDeviceProperty_Movie_IntervalRec_CountDownIntervalTime<dp-Movie_IntervalRec_CountDownIntervalTime>`	R/T	✔	✔	\-	✔	\-	\-	\-	\-	✔	\-	\-	✔	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-
312	Interval REC(Movie) Recording Duration	:ref:`CrDeviceProperty_Movie_IntervalRec_RecordingDuration<dp-Movie_IntervalRec_RecordingDuration>`	R/T	✔	✔	\-	✔	\-	\-	\-	\-	✔	\-	\-	✔	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-
313	Pixel Mapping Enable Status	:ref:`CrDeviceProperty_PixelMappingEnableStatus<dp-PixelMappingEnableStatus>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
314	Execute Pixel Mapping	:ref:`CrCommandId_PixelMapping<command-PixelMapping>`	R/T	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-
315	Time Code Preset Reset Enable Status	:ref:`CrDeviceProperty_TimeCodePresetResetEnableStatus<dp-TimeCodePresetResetEnableStatus>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
316	Execute Time Code Preset Reset	:ref:`CrCommandId_TimeCodePresetReset<command-TimeCodePresetReset>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-
317	User Bit Preset Reset Enable Status	:ref:`CrDeviceProperty_UserBitPresetResetEnableStatus<dp-UserBitPresetResetEnableStatus>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
318	Execute User Bit Preset Reset	:ref:`CrCommandId_UserBitPresetReset<command-UserBitPresetReset>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-
319	Sensor Cleaning Enable Status	:ref:`CrDeviceProperty_SensorCleaningEnableStatus<dp-SensorCleaningEnableStatus>`	R/T	\-	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	\-	\-	\-	\-
320	Execute Sensor Cleaning	:ref:`CrCommandId_SensorCleaning<command-SensorCleaning>`	R/T	\-	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	\-	\-	\-	\-
321	Lens Version Number	:ref:`CrDeviceProperty_LensVersionNumber<dp-LensVersionNumber>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	✔	\-
322	Device Overheating State	:ref:`CrDeviceProperty_DeviceOverheatingState<dp-DeviceOverheatingState>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	\-	\-
323	Execute Power Off	:ref:`CrCommandId_PowerOff<command-PowerOff>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
324	AF Tracking Sensitivity	:ref:`CrDeviceProperty_AFTrackingSensitivity<dp-AFTrackingSensitivity>`	R/T	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	\-	✔	✔	\-	\-	\-	✔	\-	\-	\-
325	BaseLook Import Operation Enable Status	:ref:`CrDeviceProperty_BaseLookImportOperationEnableStatus<dp-BaseLookImportOperationEnableStatus>`	R/T	✔	✔	\-	✔	\-	\-	\-	\-	✔	\-	\-	✔	\-	✔	\-	\-	✔	✔	✔	✔	✔	✔	\-	✔	\-	✔	✔
326	Delete UserBaseLook	:ref:`CrDeviceProperty_DeleteUserBaseLook<dp-DeleteUserBaseLook>`	R/T	✔	✔	\-	✔	\-	\-	\-	\-	✔	\-	\-	✔	\-	✔	\-	\-	✔	✔	✔	✔	✔	✔	\-	✔	\-	\-	\-
327	Select UserBaseLook to Edit	:ref:`CrDeviceProperty_SelectUserBaseLookToEdit<dp-SelectUserBaseLookToEdit>`	R/T	✔	✔	\-	✔	\-	\-	\-	\-	✔	\-	\-	✔	\-	✔	\-	✔	✔	✔	✔	✔	✔	✔	\-	✔	\-	\-	✔
328	Select UserBaseLook to Set in PPLUT	:ref:`CrDeviceProperty_SelectUserBaseLookToSetInPPLUT<dp-SelectUserBaseLookToSetInPPLUT>`	R/T	✔	✔	\-	✔	\-	\-	\-	\-	✔	\-	\-	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	✔	\-	\-	\-
329	UserBaseLook Input	:ref:`CrDeviceProperty_UserBaseLookInput<dp-UserBaseLookInput>`	R/T	✔	✔	\-	✔	\-	\-	\-	\-	✔	\-	\-	✔	\-	✔	\-	\*1	✔	✔	✔	✔	✔	✔	\-	✔	\-	\-	✔
330	UserBaseLook AE Level Offset	:ref:`CrDeviceProperty_UserBaseLookAELevelOffset<dp-UserBaseLookAELevelOffset>`	R/T	✔	✔	\-	✔	\-	\-	\-	\-	✔	\-	\-	✔	\-	✔	\-	\*1	✔	✔	✔	✔	✔	✔	\-	✔	\-	\-	✔
331	Base ISO Switch EI	:ref:`CrDeviceProperty_BaseISOSwitchEI<dp-BaseISOSwitchEI>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	✔	\-	\-	\-	\-	\-	\-	\-
332	Flicker Less Shooting	:ref:`CrDeviceProperty_FlickerLessShooting<dp-FlickerLessShooting>`	R/T	\-	✔	✔	✔	\-	\-	\-	\-	✔	\-	\-	✔	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-
333	Playback Volume Settings	:ref:`CrDeviceProperty_PlaybackVolumeSettings<dp-PlaybackVolumeSettings>`	R/T	\-	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
334	Auto Review	:ref:`CrDeviceProperty_AutoReview<dp-AutoReview>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
335	Audio Signals	:ref:`CrDeviceProperty_AudioSignals<dp-AudioSignals>`	R/T	\-	✔	✔	✔	\-	✔	\-	\-	\-	✔	✔	\-	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
336	HDMI Resolution (Still/Play)	:ref:`CrDeviceProperty_HDMIResolutionStillPlay<dp-HDMIResolutionStillPlay>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
337	HDMI Output Rec Media (Movie)	:ref:`CrDeviceProperty_Movie_HDMIOutputRecMedia<dp-Movie_HDMIOutputRecMedia>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
338	HDMI Output Resolution (Movie)	:ref:`CrDeviceProperty_Movie_HDMIOutputResolution<dp-Movie_HDMIOutputResolution>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
339	HDMI Output 4K Setting (Movie)	:ref:`CrDeviceProperty_Movie_HDMIOutput4KSetting<dp-Movie_HDMIOutput4KSetting>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
340	HDMI Output RAW (Movie)	:ref:`CrDeviceProperty_Movie_HDMIOutputRAW<dp-Movie_HDMIOutputRAW>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	\-	\-	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	\-	\-	\-
341	HDMI Output Raw Setting (Movie)	:ref:`CrDeviceProperty_Movie_HDMIOutputRawSetting<dp-Movie_HDMIOutputRawSetting>`	R/T	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	\-	\-	\-
342	HDMI Output Time Code (Movie)	:ref:`CrDeviceProperty_Movie_HDMIOutputTimeCode<dp-Movie_HDMIOutputTimeCode>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
343	HDMI Output REC Control (Movie)	:ref:`CrDeviceProperty_Movie_HDMIOutputRecControl<dp-Movie_HDMIOutputRecControl>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
344	Monitoring Output Display HDMI	:ref:`CrDeviceProperty_MonitoringOutputDisplayHDMI<dp-MonitoringOutputDisplayHDMI>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	\-
345	Audio Output HDMI Monitor CH	:ref:`CrDeviceProperty_Movie_HDMIOutputAudioCH<dp-Movie_HDMIOutputAudioCH>`	R/T	\-	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	✔
346	IntervalREC(Movie) Interval Time	:ref:`CrDeviceProperty_Movie_IntervalRec_IntervalTime<dp-Movie_IntervalRec_IntervalTime>`	R/T	✔	✔	\-	✔	\-	\-	\-	\-	✔	\-	\-	✔	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	\-	✔	\-
347	IntervalREC(Movie) Frame Rate Setting	:ref:`CrDeviceProperty_Movie_IntervalRec_FrameRateSetting<dp-Movie_IntervalRec_FrameRateSetting>`	R/T	✔	✔	\-	✔	\-	\-	\-	\-	✔	\-	\-	✔	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	\-	\-	\-
348	IntervalREC(Movie) Recording Setting	:ref:`CrDeviceProperty_Movie_IntervalRec_RecordingSetting<dp-Movie_IntervalRec_RecordingSetting>`	R/T	✔	✔	\-	✔	\-	\-	\-	\-	✔	\-	\-	✔	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	\-	\-	\-
349	Eframing Scale(Auto)	:ref:`CrDeviceProperty_EframingScaleAuto<dp-EframingScaleAuto>`	R/T	\-	✔	\-	✔	\-	\-	\-	\-	✔	\-	\-	✔	\-	\-	\-	\-	✔	\-	\-	\-	✔	✔	✔	\-	\-	\-	✔
350	Eframing Speed(Auto)	:ref:`CrDeviceProperty_EframingSpeedAuto<dp-EframingSpeedAuto>`	R/T	\-	✔	\-	✔	\-	\-	\-	\-	✔	\-	\-	✔	\-	\-	\-	\-	✔	\-	\-	\-	✔	✔	✔	\-	\-	\-	✔
351	Eframing Mode(Auto)	:ref:`CrDeviceProperty_EframingModeAuto<dp-EframingModeAuto>`	R/T	\-	✔	\-	✔	\-	\-	\-	\-	✔	\-	\-	✔	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-
352	Eframing Recording Image Crop	:ref:`CrDeviceProperty_EframingRecordingImageCrop<dp-EframingRecordingImageCrop>`	R/T	\-	✔	\-	✔	\-	\-	\-	\-	✔	\-	\-	✔	\-	✔	\-	\-	✔	\-	\-	\-	✔	✔	✔	\-	\-	\-	✔
353	Eframing HDMI Crop	:ref:`CrDeviceProperty_EframingHDMICrop<dp-EframingHDMICrop>`	R/T	\-	✔	\-	✔	\-	\-	\-	\-	✔	\-	\-	✔	\-	✔	\-	\-	✔	\-	\-	\-	✔	✔	✔	\-	\-	\-	✔
354	Camera Eframing	:ref:`CrDeviceProperty_CameraEframing<dp-CameraEframing>`	R/T	\-	✔	\-	✔	\-	\-	\-	\-	✔	\-	\-	✔	\-	\-	\-	\-	✔	\-	\-	\-	✔	✔	✔	\-	\-	\-	✔
355	Long Exposure NR	:ref:`CrDeviceProperty_LongExposureNR<dp-LongExposureNR>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	\-	\-	\-	\-	\-	\-	\-	\-
356	High Iso NR	:ref:`CrDeviceProperty_HighIsoNR<dp-HighIsoNR>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
357	HLG Still Image	:ref:`CrDeviceProperty_HLGStillImage<dp-HLGStillImage>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
358	Color Space	:ref:`CrDeviceProperty_ColorSpace<dp-ColorSpace>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
359	Bracket Order	:ref:`CrDeviceProperty_BracketOrder<dp-BracketOrder>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
360	Focus Bracket Order	:ref:`CrDeviceProperty_FocusBracketOrder<dp-FocusBracketOrder>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	\-	\-	✔	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-
361	Focus Bracket Exposure Lock 1st Image	:ref:`CrDeviceProperty_FocusBracketExposureLock1stImg<dp-FocusBracketExposureLock1stImg>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	\-	\-	✔	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-
362	Focus Bracket Interval Until Next Shot	:ref:`CrDeviceProperty_FocusBracketIntervalUntilNextShot<dp-FocusBracketIntervalUntilNextShot>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	\-	\-	✔	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-
363	IntervalREC(Still) Shooting Start Time	:ref:`CrDeviceProperty_IntervalRec_ShootingStartTime<dp-IntervalRec_ShootingStartTime>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
364	IntervalREC(Still) Shooting Interval	:ref:`CrDeviceProperty_IntervalRec_ShootingInterval<dp-IntervalRec_ShootingInterval>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
365	IntervalREC(Still) Shoot Interval Priority	:ref:`CrDeviceProperty_IntervalRec_ShootIntervalPriority<dp-IntervalRec_ShootIntervalPriority>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
366	IntervalREC(Still) Number of Shots	:ref:`CrDeviceProperty_IntervalRec_NumberOfShots<dp-IntervalRec_NumberOfShots>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
367	IntervalREC(Still) AE Tracking Sensitivity	:ref:`CrDeviceProperty_IntervalRec_AETrackingSensitivity<dp-IntervalRec_AETrackingSensitivity>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
368	IntervalREC(Still) Shutter Type	:ref:`CrDeviceProperty_IntervalRec_ShutterType<dp-IntervalRec_ShutterType>`	R/T	✔	✔	✔	\-	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	\-	\-	\-	\-	\-	\-	\-	\-
369	High Resolution Shutter Speed Setting	:ref:`CrDeviceProperty_HighResolutionShutterSpeedSetting<dp-HighResolutionShutterSpeedSetting>`	R/T	✔	✔	✔	✔	\-	\-	\-	\-	✔	\-	✔	✔	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	\-	✔	\-	\-	\-
370	High Resolution Shutter Speed	:ref:`CrDeviceProperty_HighResolutionShutterSpeed<dp-HighResolutionShutterSpeed>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	\-	✔	✔	\-	\-	\-	\-	✔	\-	\-	✔	\-	\-	✔	✔	\-	\-	\-
371	Wind Noise Reduction	:ref:`CrDeviceProperty_WindNoiseReduct<dp-WindNoiseReduct>`	R/T	\-	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
372	Movie Rec Self timer	:ref:`CrDeviceProperty_RecordingSelfTimer<dp-RecordingSelfTimer>`	R/T	✔	✔	\-	✔	\-	✔	\-	\-	✔	\-	\-	✔	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-
373	Movie Rec Self timer Count Time	:ref:`CrDeviceProperty_RecordingSelfTimerCountTime<dp-RecordingSelfTimerCountTime>`	R/T	✔	✔	\-	✔	\-	✔	\-	\-	✔	\-	\-	✔	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-
374	Movie Rec Self timer Continuous	:ref:`CrDeviceProperty_RecordingSelfTimerContinuous<dp-RecordingSelfTimerContinuous>`	R/T	✔	✔	\-	✔	\-	✔	\-	\-	✔	\-	\-	✔	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-
375	Movie Rec Self timer Status	:ref:`CrDeviceProperty_RecordingSelfTimerStatus<dp-RecordingSelfTimerStatus>`	R/T	✔	✔	\-	✔	\-	✔	\-	\-	✔	\-	\-	✔	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-
376	Bulb Timer Setting	:ref:`CrDeviceProperty_BulbTimerSetting<dp-BulbTimerSetting>`	R/T	✔	✔	\-	✔	\-	✔	\-	\-	✔	\-	\-	✔	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-
377	Bulb Exposure Time Setting	:ref:`CrDeviceProperty_BulbExposureTimeSetting<dp-BulbExposureTimeSetting>`	R/T	✔	✔	\-	✔	\-	✔	\-	\-	✔	\-	\-	✔	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-
378	Auto Slow Shutter	:ref:`CrDeviceProperty_AutoSlowShutter<dp-AutoSlowShutter>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
379	Iso Auto Min Shutter Speed Mode	:ref:`CrDeviceProperty_IsoAutoMinShutterSpeedMode<dp-IsoAutoMinShutterSpeedMode>`	R/T	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	\-	✔	\-	\-	\-
